Response ID	Which best describes your primary work area?	"If you selected Other, please describe your primary work area "	How many years have you worked in the software industry? (decimals okay)	How many years have you worked at Microsoft? (decimals okay)		How many developers are on your immediate team (including yourself)?	Is it a policy in your team to perform code reviews?	"What are your motivations for code review? Please pick the three most important ones (in order, without ties) from the following list"	"If you have other motivations for code review that are in the top three but are not listed above, please list them here."		Consider the following questions from the perspective of you being the reviewer of a code review submission.	"As a reviewer, under which conditions do you need to talk in person to the author of a code review submission?"	"As a reviewer, if the files being modified by a code review submission are owned by you (or you are very familiar with them), how often do you talk in person with the author of the code review?"	"As a reviewer, if the files being modified by a code review submission are unfamiliar to you (or are new), how often do you talk in person with the author of the code review?"	Does it take longer to review files that you are not familiar with (or files that are new)?	Why or why not?	How much understanding of the code review submission do you need for achieving the following:		Consider the following questions from the perspective of you being the author of a code review submission.	How do you select the people to send your code review to?	Is there a difference in comments/feedback you receive when a reviewer is very familiar with or the owner of the files you changed in a code review? 	"If there is a difference, what is different in the comments/feedback?"	"If you have any additional feedback that you feel would be helpful to our research in this area, please share it here.  (Remember that the survey is anonymous, so please enter your alias below if your feedback requires follow-up.)"	"If you would like to be notified with the results of our research, please email us (alias cbird) or enter your alias here and we will send it to you when it is completed."	"If you would like to be entered into a drawing for one of two $50 Amazon gift cards, please enter your alias here or, if you are worried about anonymity, email us (alias cbird) with subject ""Code Review Survey Drawing""."
6503619	Development		8	1.5		7	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Not Top 3 Importance;#Generate better ideas, alternative approaches / Second Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Third Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				"In general I do talk in person to the author if I didn't like code, i.e. it is not readable, I see that it will create bugs in the future, or it was wrong pattern used in that case. In case there is minor issues I accept it with comments. If I see that there is a bug I decline it."	up to 25% of the time	up to 25% of the time	Yes	It takes some time to understand the purpose of the code. If I'm not familiar with that code I need to understand what was the requirements and limitations before decide if the solution was good or not. Sometimes it is difficult to understand from the list of modified files. You need to have context before doing code review.	"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Complete understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / No understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"1. I choose person who goes through the code line by line, understanding intent and solutions. It is most important for me.  2. I prefer person who knows that code / familiar with that area / knows conext. 3. I give the lowest priority to the person who checks general code syntax only or simple edge case scenarios."	Yes	In average persons who have complete understanding of the code are giving realy good suggestions or better ideas more often than others. + they can tell you if you are running in potential problem in the future since there is a hidden problem.		ankuroch	ankuroch
6503621	Other	Program Manager	7	5		2	Yes	"Avoiding build breaks / Second Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Third Most Important;#Helping improving the development process in general / Not Top 3 Importance"				"Very rarely, but as a Program Manager, I might have questions on to why the code is not exactly doing what it was spec'd before, and that's when a contact is needed."	up to 25% of the time	up to 25% of the time	Yes	"Program Management is usually removed from the code, so it does take longer for me to code review new files or things I am not familiar with"	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / High understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			I rarely send code reviews	Yes			cleberm	cleberm
6503622	Development		0.5	0.5		5	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Second Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / First Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Third Most Important"	Learn from more experienced developers to see how they code. 			If I need to ask a more detailed conversation or have concerns but need clarification from the review owner first.	up to 25% of the time	up to 25% of the time	Yes	Not familiar with the code so cannot comment on changes until I understand the context and why certain changes were made.	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Complete understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			I select people based on if the code changed is relevant to their work (ie they are working on the same project etc.) Also add other teams to code reviews if they are consuming our service or if there are breaking changes to make them aware of it.  I also try to include someone who has good knowledge and understanding of the type of code I am working on. Example if i am doing some javascript try to include people who are experienced with javascript / web stuff.	Yes	They can point to other areas I may have missed that could be affected by this code. They also can provide more valuable comments on functional stuff not just code style.		farizvi	farizvi
6503624	Test		11	8.5		31	Yes	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Generate better ideas, alternative approaches / Second Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Third Most Important"				"When they're deviating from the (currently informal) code standards to a sufficient degree that it's going to take significant time for them to clean up. Case in point: one new grad insists on double-spacing, which is just awful.  or, hah, when their changes could be messing up my owned areas."	between 50% and 75% of the time	Never	Yes	completely new files require me to look over the entire thing for stupid mistakes. SDETs who fiddle around with small details like magic numbers for control IDs or timing games with automation.	"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / No understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"policy and social currency, for the most part. Rarely I'll get lucky and will be able to get someone familiar with the area to review changes. "	Yes	"minimal usually, if they're familiar with it, since they don't have to have the changes explained to them"	"currently I can't use the same entry point to create a review as to check on it's progress - I either launch CodeFlow locally or go to my dashboard. This is annoying, one entry point would be better. "		
6503625	Test		4	2		30	Yes	"Avoiding build breaks / Third Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Not Top 3 Importance;#Generate better ideas, alternative approaches / Not Top 3 Importance;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Second Most Important;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				If the code under review is particularly bad	between 50% and 75% of the time	up to 25% of the time	Yes	You need to understand the whole system to give good feedback	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / High understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			Alias from the team	Yes	More knowledgable about possible other ways to do things		omusavi	omusavi
6503626	Development		8	7		25	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Not Top 3 Importance;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / Third Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Second Most Important"				"Cases where CR comments or email are not sufficient: 1) Anything that constitutes restarting the change from scratch. Often this is because of design, but occasionally is due to widespread implementation or style issues. 2) Communication that is not for broader consumption. 3) Need to understand the rationale behind the change and anticipate that the description will be involved."	up to 25% of the time	up to 25% of the time	Yes	Typically new files and changes to unfamiliar files have broader design implications than changes within an existing file (even if those changes are sized appropriately).	"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / No understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			* Nominated owners (dev/test owners) * People who I know are interested in the change * People with prior subject matter expertise	Yes	"Greater confidence in comments -- fewer hedged comments (e.g., ""I could be wrong in interpreting this, but..."") "	"Build breaks are only a concern for me in that when I see a potential build break in a changelist, it indicates that the submitter probably has not actually tried out what they are proposing."	dandris	dandris
6503627	Development		12.5	11.5		9	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Not Top 3 Importance;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / First Most Important;#Helping improving the development process in general / Third Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				"At times, when I find the fix too complex to understand or when there are multiple ways to solve something, and I am curious about why a particular option was chosen."	up to 25% of the time	up to 25% of the time	Yes	"It takes longer, because I don't have context. Sometimes it is technology/feature specific, other times there maybe a history of why certain things are (workarounds for bugs in dependent code etc..)"	"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / Complete understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"We have a distribution list with the entire dev team (and whoever else is interested). The culture on my team is ""the more eyes the better"""	Yes	Someone who is more familiar provides very specific feedback/comments.  Less familiar people will provide more high level feedback.. code duplication/styling/coding guidelines etc....			murtuzab
6503628	Test		7	1		10	Yes	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Finding defects/bugs / Third Most Important;#Generate better ideas, alternative approaches / Second Most Important"				"if the files are new, and new logic has been written"	up to 25% of the time	between 25% and 50% of the time	Yes		"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Finding defects/bugs / Complete understanding;#Generate better ideas, alternative approaches / High understanding"			typing their alias	Yes				ravk
6503629	Development		27	19		18	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Not Top 3 Importance;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Not Top 3 Importance;#Generate better ideas, alternative approaches / Third Most Important;#Helping improving the development process in general / Second Most Important;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / First Most Important"				If the scope of the review change is larger than can be discussed inside codeFlow or in email.	up to 25% of the time	Never	Yes	Hard to get context from inside codeFlow. There is limited way of exploring the code surrounding the change to ensure it's safe.	"Avoiding build breaks / Complete understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			Those with the most knowledge of the area being modified. Those with knowledge that are impacted with changes. Those with deep understanding for highly technical changes.	Yes	"More knowledgable reviewer produces more global and deeper feedback. Less knowledgable reviewer tends to focus on local changes (syntax, comments, etc)."	"CodeFlow is wonderful, but it has limitations. It doesn't integrate with VS, so there is no browing ability with it. There is a way to install/test the changes but it's out-of-box. There is no way to specify review check-in requirements (ensure someone does the review, feedback conflict resolution, etc); it's all done by convention. It's hard to gell of the changes could affect you or not."	orestz	orestz
6503630	Development		7	5.5		6	Yes	Avoiding build breaks / Third Most Important;#Finding defects/bugs / First Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Second Most Important				"When there  is too much back and forth on 'mustfix wontfix' situations. that is, I feel something needs to be fixed and the author doesn't think so. Or when I feel a comment is not understood."	up to 25% of the time	up to 25% of the time	Yes	"Yes, because it takes longer to validate the new change and see if its the right thing to do."	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / High understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / No understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / No understanding"			"Code owners, anybody involved in discussion of the change. Sometimes test as an FYI if they express interest to know the code. Manager, mostly so he is aware of progress of the checkin"	Yes	There are more pertinent and deep. Are not generally about coding practices but abt the component's design and behavior itself.	"I don't know what your research is about, so not sure what I can add that will be helpful to you"		vponnuru
6503631	Test		1	1		4	Yes	"Avoiding build breaks / Third Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Third Most Important;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / First Most Important;#Helping improving the development process in general / First Most Important;#Keeping track of comments and rationale on code changes / First Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Third Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Second Most Important;#Team Awareness/Transparency (knowing what is going on in the development) / First Most Important"				If the design is confusing or not clear.	between 25% and 50% of the time	between 25% and 50% of the time	Yes	"When I am less familiar with the code, I try to understand the logic before consulting the author of the review."	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / No understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / No understanding"			"I send to my team, the feature crew, and any other teams that may be impacted."	Yes	The feedback is more precise and detailed.			chmiceli
6503632	Development		5.5	4.5		9	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Finding defects/bugs / Third Most Important;#Generate better ideas, alternative approaches / Second Most Important;#Helping improving the development process in general / Not Top 3 Importance"				"When I don't understand the area that well, or the reason for the change."	between 25% and 50% of the time	up to 25% of the time	Yes		"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / No understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / No understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"Ownership of code, experts in area"	Yes				jpozas
6503633	Development		18	9		6	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Second Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Not Top 3 Importance;#Generate better ideas, alternative approaches / Third Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / First Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				Not enough context for changes	between 25% and 50% of the time	between 50% and 75% of the time	Yes	"Ramping up on unfamiliar code, unchanged code not included in code review makes it difficult to bounce back and forth to understand code"	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"manager, peers if they are more familiar with code and have dependencies on code, testers assigned to feature"	Yes	"Feedback tends to be of better quality, generating alternate ideas or better approaches instead of symantic kind of feedback"		mmills	mmills
6503634	Development		6	4		7	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Third Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / First Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				design defect or something hard to descript in text.	up to 25% of the time	up to 25% of the time	Yes	"It is because I need more time to understand the code and the design. And when the files are new added, usually it has a bunch of new code need to read and review, which takes longer time."	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Complete understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / Complete understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / No understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			We have a code review responsibility list within our team. I will send the code review to the corresponding peers and cc my dev lead.It'd be better if code flow could remember the code reviewers I used. Or put them in a group I can easily select.	No		"Codeflow will send out an email when we add comments, can we also include the code snippet in the email, that will help us quickly understand the feedback without opening the code flow. Sometimes, it could be very convinient time-saving feature. -lynning"	lynning	lynning
6503635	Test		13	1		10	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Finding defects/bugs / Third Most Important;#Generate better ideas, alternative approaches / Second Most Important;#Helping improving the development process in general / Second Most Important"				Design and rationale and differences in philosophy	Never	between 25% and 50% of the time	Yes	It typically is a different area than what i used to own. Hence I need to know the rationale etc in order to clarify conventions and philosophy	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding"			Corresponding Dev / Test and Feature owners and peers	No			srvisvan	srvisvan
6503636	Development		5	5		6	Yes	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Third Most Important;#Finding defects/bugs / Second Most Important"				1. When I don't understand the design or implementation of the code. 2. when I have concern about the design or implementation of the code. 3. When the coding style or the code quality is far from acceptable.	up to 25% of the time	up to 25% of the time	Yes	I want to make sure that I understand the change the other person is making and ensure the design and implementation is correct to my best judegement.	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			The person who owns the code that i am modifying or familiar with the code.	Yes	The feedback can be more helpful which can points out better design or implementation.			luchen
6503637	Development		2	2		6	Yes	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Second Most Important;#Helping improving the development process in general / Third Most Important"					up to 25% of the time	between 25% and 50% of the time	Yes	"Because I need to first figure out context of changes with respect to code already in the file, rather than just focus on the delta of changes"	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Complete understanding;#Finding defects/bugs / Complete understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / High understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			We have assigned buddies for each feature in our team. Usually they are a required reviewer.	Yes	More likely to find code defects other than stylistic comments		harpres	harpres
6503638	Development		4	4		5	Yes	"Avoiding build breaks / Second Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Third Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / Not Top 3 Importance;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				Code is not straight forward.		up to 25% of the time	Yes	Have to take some time to familiarize with the code.	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Complete understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Little understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"Team alias, and owners of the code."	No				
6503639	Development		0.5	0.5		36	Yes	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Second Most Important;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / Third Most Important"				If it is not clear why they are making the change or if you can't tell what the overall purpose of the change is.	between 50% and 75% of the time	up to 25% of the time	Yes	You don't have a general idea of what the code is trying to do so you have to understand the purpose of the code & where it fits in before you can evaluate the changes being made.	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / Complete understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			My immediate group as well as experts in the field/area on the team.	No			brfratel	brfratel
